ASIC_Channel PAD_CHANNEL
1 9
2 1
3 25
4 17
5 41
6 33
7 57
8 49
9 10
10 2
11 26
12 18
13 42
14 34
15 58
16 50
17 11
18 3
19 27
20 19
21 43
22 35
23 59
24 51
25 12
26 4
27 28
28 20
29 44
30 36
31 60
32 52
33 13
34 5
35 29
36 21
37 45
38 37
39 61
40 53
41 14
42 6
43 30
44 22
45 46
46 38
47 62
48 54
49 15
50 7
51 31
52 23
53 47
54 39
55 63
56 55
57 16
58 8
59 32
60 24
61 48
62 40
63 64
64 56
