ASIC_Channel PAD_Channel
1 56
2 64
3 40
4 48
5 24
6 32
7 8
8 16
9 55
10 63
11 39
12 47
13 23
14 31
15 7
16 15
17 54
18 62
19 38
20 46
21 22
22 30
23 6
24 14
25 53
26 61
27 37
28 45
29 21
30 29
31 5
32 13
33 52
34 60
35 36
36 44
37 20
38 28
39 4
40 12
41 51
42 59
43 35
44 43
45 19
46 27
47 3
48 11
49 50
50 58
51 34
52 42
53 18
54 26
55 2
56 10
57 49
58 57
59 33
60 41
61 17
62 25
63 1
64 9
