ASIC_Channel PAD_Channel
1 8
2 16
3 24
4 32
5 40
6 48
7 56
8 64
9 7
10 15
11 23
12 31
13 39
14 47
15 55
16 63
17 6
18 14
19 22
20 30
21 38
22 46
23 54
24 62
25 5
26 13
27 21
28 29
29 37
30 45
31 53
32 61
33 4
34 12
35 20
36 28
37 36
38 44
39 52
40 60
41 3
42 11
43 19
44 27
45 35
46 43
47 51
48 59
49 2
50 10
51 18
52 26
53 34
54 42
55 50
56 58
57 1
58 9
59 17
60 25
61 33
62 41
63 49
64 57
