ASIC_Channel PAD_Channel
1 1
2 2
3 14
4 15
5 27
6 28
7 40
8 41
9 53
10 54
11 4
12 3
13 6
14 5
15 8
16 7
17 10
18 9
19 12
20 11
21 16
22 13
23 18
24 17
25 20
26 19
27 22
28 21
29 24
30 23
31 26
32 25
33 30
34 29
35 32
36 31
37 34
38 33
39 36
40 35
41 38
42 37
43 42
44 39
45 44
46 43
47 46
48 45
49 48
50 47
51 50
52 49
53 52
54 51
55 56
56 55
57 58
58 57
59 60
60 59
61 62
62 61
63 64
64 63
