ASIC_Channel Pad_Channel
1 50
2 43
3 36
4 29
5 22
6 15
7 8
8 1
9 51
10 44
11 37
12 30
13 23
14 16
15 9
16 2
17 52
18 45
19 38
20 31
21 24
22 17
23 10
24 3
25 53
26 63
27 39
28 46
29 25
30 32
31 11
32 18
33 54
34 4
35 40
36 61
37 26
38 47
39 12
40 33
41 55
42 19
43 41
44 5
45 27
46 59
47 13
48 48
49 56
50 34
51 42
52 20
53 28
54 6
55 60
56 57
57 64
58 49
59 14
60 35
61 58
62 21
63 62
64 7
