ASIC_Channel PAD_Channel
1 4
2 64
3 8
4 50
5 57
6 36
7 2
8 22
9 6
10 7
11 43
12 63
13 29
14 49
15 15
16 35
17 56
18 21
19 42
20 5
21 28
22 62
23 14
24 48
25 55
26 34
27 41
28 20
29 27
30 3
31 13
32 61
33 54
34 47
35 40
36 33
37 26
38 19
39 12
40 1
41 53
42 60
43 39
44 46
45 25
46 32
47 11
48 18
49 52
50 59
51 38
52 45
53 24
54 31
55 10
56 17
57 51
58 58
59 37
60 44
61 23
62 30
63 9
64 16
