ASIC_Channel PAD_Channel
1 15
2 22
3 29
4 36
5 43
6 50
7 57
8 64
9 14
10 21
11 28
12 35
13 42
14 49
15 56
16 63
17 13
18 20
19 27
20 34
21 41
22 48
23 55
24 62
25 12
26 2
27 26
28 19
29 40
30 33
31 54
32 47
33 11
34 61
35 25
36 4
37 39
38 18
39 53
40 32
41 10
42 46
43 24
44 60
45 38
46 6
47 52
48 17
49 9
50 31
51 23
52 45
53 37
54 59
55 5
56 8
57 1
58 16
59 51
60 30
61 7
62 44
63 3
64 58
