# File: D:\MyProject\SDHCAL_DAQ\PCB&Schematic\SDHCalFEB\Capture\Pad30x30V2.csv
# Generated on: Wednesday Dec 05 09:44:16 2018

Pin Number, Signal Name, Direction, IO Standard, Drive (mA), Slew Rate, Termination, IOB Delay, Diff Type, Diff Pair, Swap Group
N2,GEM_OUT_E<38>,OUTPUT,,,,,,,,
N3,GEM_OUT_E<39>,OUTPUT,,,,,,,,
N4,GEM_OUT_E<36>,OUTPUT,,,,,,,,
N5,GEM_OUT_E<34>,OUTPUT,,,,,,,,
N6,GEM_OUT_E<40>,OUTPUT,,,,,,,,
N7,GEM_OUT_E<35>,OUTPUT,,,,,,,,
N8,GEM_OUT_E<33>,OUTPUT,,,,,,,,
P1,GEM_OUT_E<47>,OUTPUT,,,,,,,,
P2,GEM_OUT_E<48>,OUTPUT,,,,,,,,
P3,GEM_OUT_E<49>,OUTPUT,,,,,,,,
P4,GEM_OUT_E<45>,OUTPUT,,,,,,,,
P5,GEM_OUT_E<42>,OUTPUT,,,,,,,,
P6,GEM_OUT_E<50>,OUTPUT,,,,,,,,
P7,GEM_OUT_E<44>,OUTPUT,,,,,,,,
P8,GEM_OUT_E<41>,OUTPUT,,,,,,,,
Q1,GEM_OUT_E<61>,OUTPUT,,,,,,,,
Q2,GEM_OUT_E<62>,OUTPUT,,,,,,,,
Q3,GEM_OUT_E<63>,OUTPUT,,,,,,,,
Q4,GEM_OUT_E<64>,OUTPUT,,,,,,,,
Q5,GEM_OUT_E<56>,OUTPUT,,,,,,,,
Q6,GEM_OUT_E<53>,OUTPUT,,,,,,,,
Q7,GEM_OUT_E<46>,OUTPUT,,,,,,,,
Q8,GEM_OUT_E<43>,OUTPUT,,,,,,,,
R1,GEM_OUT_E<60>,OUTPUT,,,,,,,,
R2,GEM_OUT_E<59>,OUTPUT,,,,,,,,
R3,GEM_OUT_E<58>,OUTPUT,,,,,,,,
R4,GEM_OUT_E<57>,OUTPUT,,,,,,,,
R5,GEM_OUT_E<55>,OUTPUT,,,,,,,,
R6,GEM_OUT_E<54>,OUTPUT,,,,,,,,
R7,GEM_OUT_E<52>,OUTPUT,,,,,,,,
R8,GEM_OUT_E<51>,OUTPUT,,,,,,,,
S25,GEM_OUT_L<2>,OUTPUT,,,,,,,,
S26,GEM_OUT_L<4>,OUTPUT,,,,,,,,
S27,GEM_SIGNAL_S27,OUTPUT,,,,,,,,
S28,GEM_OUT_L<8>,OUTPUT,,,,,,,,
S29,GEM_OUT_L<10>,OUTPUT,,,,,,,,
S30,GEM_OUT_L<11>,OUTPUT,,,,,,,,
T25,GEM_OUT_L<1>,OUTPUT,,,,,,,,
T26,GEM_OUT_L<3>,OUTPUT,,,,,,,,
T27,GEM_OUT_L<5>,OUTPUT,,,,,,,,
T28,GEM_OUT_L<7>,OUTPUT,,,,,,,,
T29,GEM_OUT_L<9>,OUTPUT,,,,,,,,
T30,GEM_OUT_L<12>,OUTPUT,,,,,,,,
U25,GEM_OUT_L<24>,OUTPUT,,,,,,,,
U26,GEM_OUT_L<23>,OUTPUT,,,,,,,,
U27,GEM_OUT_L<22>,OUTPUT,,,,,,,,
U28,GEM_OUT_L<21>,OUTPUT,,,,,,,,
U29,GEM_OUT_L<18>,OUTPUT,,,,,,,,
U30,GEM_OUT_L<15>,OUTPUT,,,,,,,,
V25,GEM_OUT_L<29>,OUTPUT,,,,,,,,
V26,GEM_OUT_L<28>,OUTPUT,,,,,,,,
V27,GEM_OUT_L<27>,OUTPUT,,,,,,,,
V28,GEM_OUT_L<25>,OUTPUT,,,,,,,,
V29,GEM_OUT_L<31>,OUTPUT,,,,,,,,
V30,GEM_OUT_L<26>,OUTPUT,,,,,,,,
W25,GEM_OUT_L<37>,OUTPUT,,,,,,,,
W26,GEM_OUT_L<38>,OUTPUT,,,,,,,,
W27,GEM_OUT_L<39>,OUTPUT,,,,,,,,
W28,GEM_OUT_L<40>,OUTPUT,,,,,,,,
W29,GEM_OUT_L<36>,OUTPUT,,,,,,,,
W30,GEM_OUT_L<34>,OUTPUT,,,,,,,,
Y25,GEM_OUT_L<47>,OUTPUT,,,,,,,,
Y26,GEM_OUT_L<48>,OUTPUT,,,,,,,,
Y27,GEM_OUT_L<49>,OUTPUT,,,,,,,,
Y28,GEM_OUT_L<45>,OUTPUT,,,,,,,,
Y29,GEM_OUT_L<42>,OUTPUT,,,,,,,,
Y30,GEM_OUT_L<50>,OUTPUT,,,,,,,,
Z25,GEM_OUT_L<61>,OUTPUT,,,,,,,,
Z26,GEM_OUT_L<62>,OUTPUT,,,,,,,,
Z27,GEM_OUT_L<63>,OUTPUT,,,,,,,,
Z28,GEM_OUT_L<64>,OUTPUT,,,,,,,,
Z29,GEM_OUT_L<56>,OUTPUT,,,,,,,,
Z30,GEM_OUT_L<53>,OUTPUT,,,,,,,,
AA25,GEM_OUT_L<60>,OUTPUT,,,,,,,,
AA26,GEM_OUT_L<59>,OUTPUT,,,,,,,,
AA27,GEM_OUT_L<58>,OUTPUT,,,,,,,,
AA28,GEM_OUT_L<57>,OUTPUT,,,,,,,,
AA29,GEM_OUT_L<55>,OUTPUT,,,,,,,,
AA30,GEM_OUT_L<54>,OUTPUT,,,,,,,,
S9,GEM_OUT_J<2>,OUTPUT,,,,,,,,
S10,GEM_OUT_J<4>,OUTPUT,,,,,,,,
S11,GEM_SIGNAL_S11,OUTPUT,,,,,,,,
S12,GEM_OUT_J<8>,OUTPUT,,,,,,,,
S13,GEM_OUT_J<10>,OUTPUT,,,,,,,,
S14,GEM_OUT_J<11>,OUTPUT,,,,,,,,
S15,GEM_OUT_J<13>,OUTPUT,,,,,,,,
S16,GEM_OUT_J<14>,OUTPUT,,,,,,,,
T9,GEM_OUT_J<1>,OUTPUT,,,,,,,,
T10,GEM_OUT_J<3>,OUTPUT,,,,,,,,
T11,GEM_OUT_J<5>,OUTPUT,,,,,,,,
T12,GEM_OUT_J<7>,OUTPUT,,,,,,,,
T13,GEM_OUT_J<9>,OUTPUT,,,,,,,,
T14,GEM_OUT_J<12>,OUTPUT,,,,,,,,
T15,GEM_OUT_J<16>,OUTPUT,,,,,,,,
T16,GEM_OUT_J<17>,OUTPUT,,,,,,,,
U9,GEM_OUT_J<24>,OUTPUT,,,,,,,,
U10,GEM_OUT_J<23>,OUTPUT,,,,,,,,
U11,GEM_OUT_J<22>,OUTPUT,,,,,,,,
U12,GEM_OUT_J<21>,OUTPUT,,,,,,,,
U13,GEM_OUT_J<18>,OUTPUT,,,,,,,,
U14,GEM_OUT_J<15>,OUTPUT,,,,,,,,
U15,GEM_OUT_J<19>,OUTPUT,,,,,,,,
U16,GEM_OUT_J<20>,OUTPUT,,,,,,,,
V9,GEM_OUT_J<29>,OUTPUT,,,,,,,,
V10,GEM_OUT_J<28>,OUTPUT,,,,,,,,
V11,GEM_OUT_J<27>,OUTPUT,,,,,,,,
V12,GEM_OUT_J<31>,OUTPUT,,,,,,,,
V13,GEM_OUT_J<25>,OUTPUT,,,,,,,,
V14,GEM_OUT_J<26>,OUTPUT,,,,,,,,
V15,GEM_OUT_J<30>,OUTPUT,,,,,,,,
V16,GEM_OUT_J<32>,OUTPUT,,,,,,,,
W9,GEM_OUT_J<37>,OUTPUT,,,,,,,,
W10,GEM_OUT_J<38>,OUTPUT,,,,,,,,
W11,GEM_OUT_J<39>,OUTPUT,,,,,,,,
W12,GEM_OUT_J<36>,OUTPUT,,,,,,,,
W13,GEM_OUT_J<34>,OUTPUT,,,,,,,,
W14,GEM_OUT_J<40>,OUTPUT,,,,,,,,
W15,GEM_OUT_J<35>,OUTPUT,,,,,,,,
W16,GEM_OUT_J<33>,OUTPUT,,,,,,,,
Y9,GEM_OUT_J<47>,OUTPUT,,,,,,,,
Y10,GEM_OUT_J<48>,OUTPUT,,,,,,,,
Y11,GEM_OUT_J<49>,OUTPUT,,,,,,,,
Y12,GEM_OUT_J<45>,OUTPUT,,,,,,,,
Y13,GEM_OUT_J<42>,OUTPUT,,,,,,,,
Y14,GEM_OUT_J<50>,OUTPUT,,,,,,,,
Y15,GEM_OUT_J<44>,OUTPUT,,,,,,,,
Y16,GEM_OUT_J<41>,OUTPUT,,,,,,,,
Z9,GEM_OUT_J<61>,OUTPUT,,,,,,,,
Z10,GEM_OUT_J<62>,OUTPUT,,,,,,,,
Z11,GEM_OUT_J<63>,OUTPUT,,,,,,,,
Z12,GEM_OUT_J<64>,OUTPUT,,,,,,,,
Z13,GEM_OUT_J<56>,OUTPUT,,,,,,,,
Z14,GEM_OUT_J<53>,OUTPUT,,,,,,,,
Z15,GEM_OUT_J<46>,OUTPUT,,,,,,,,
Z16,GEM_OUT_J<43>,OUTPUT,,,,,,,,
AA9,GEM_OUT_J<60>,OUTPUT,,,,,,,,
AA10,GEM_OUT_J<59>,OUTPUT,,,,,,,,
AA11,GEM_OUT_J<58>,OUTPUT,,,,,,,,
AA12,GEM_OUT_J<57>,OUTPUT,,,,,,,,
AA13,GEM_OUT_J<55>,OUTPUT,,,,,,,,
AA14,GEM_OUT_J<54>,OUTPUT,,,,,,,,
AA15,GEM_OUT_J<52>,OUTPUT,,,,,,,,
AA16,GEM_OUT_J<51>,OUTPUT,,,,,,,,
AB17,GEM_OUT_O<2>,OUTPUT,,,,,,,,
AB18,GEM_OUT_O<4>,OUTPUT,,,,,,,,
AB19,GEM_OUT_O<6>,OUTPUT,,,,,,,,
AB20,GEM_OUT_O<8>,OUTPUT,,,,,,,,
AB21,GEM_OUT_O<10>,OUTPUT,,,,,,,,
AB22,GEM_OUT_O<11>,OUTPUT,,,,,,,,
AB23,GEM_OUT_O<13>,OUTPUT,,,,,,,,
AB24,GEM_OUT_O<14>,OUTPUT,,,,,,,,
AC17,GEM_OUT_O<1>,OUTPUT,,,,,,,,
AC18,GEM_OUT_O<3>,OUTPUT,,,,,,,,
AC19,GEM_OUT_O<5>,OUTPUT,,,,,,,,
AC20,GEM_OUT_O<7>,OUTPUT,,,,,,,,
AC21,GEM_OUT_O<9>,OUTPUT,,,,,,,,
AC22,GEM_OUT_O<12>,OUTPUT,,,,,,,,
AC23,GEM_OUT_O<16>,OUTPUT,,,,,,,,
AC24,GEM_OUT_O<17>,OUTPUT,,,,,,,,
AD17,GEM_OUT_O<24>,OUTPUT,,,,,,,,
AD18,GEM_OUT_O<23>,OUTPUT,,,,,,,,
AD19,GEM_OUT_O<22>,OUTPUT,,,,,,,,
AD20,GEM_OUT_O<21>,OUTPUT,,,,,,,,
AD21,GEM_OUT_O<18>,OUTPUT,,,,,,,,
AD22,GEM_OUT_O<15>,OUTPUT,,,,,,,,
AD23,GEM_OUT_O<19>,OUTPUT,,,,,,,,
AD24,GEM_OUT_O<20>,OUTPUT,,,,,,,,
AE17,GEM_OUT_O<29>,OUTPUT,,,,,,,,
AE18,GEM_OUT_O<28>,OUTPUT,,,,,,,,
AE19,GEM_OUT_O<27>,OUTPUT,,,,,,,,
AE20,GEM_OUT_O<31>,OUTPUT,,,,,,,,
AE21,GEM_OUT_O<25>,OUTPUT,,,,,,,,
AE22,GEM_OUT_O<26>,OUTPUT,,,,,,,,
AE23,GEM_OUT_O<30>,OUTPUT,,,,,,,,
AE24,GEM_OUT_O<32>,OUTPUT,,,,,,,,
AF17,GEM_OUT_O<58>,OUTPUT,,,,,,,,
AF18,GEM_OUT_O<60>,OUTPUT,,,,,,,,
AF19,GEM_OUT_O<55>,OUTPUT,,,,,,,,
AF20,GEM_SIGNAL_AF20,OUTPUT,,,,,,,,
AF21,GEM_OUT_O<51>,OUTPUT,,,,,,,,
AF22,GEM_OUT_O<40>,OUTPUT,,,,,,,,
AF23,GEM_OUT_O<35>,OUTPUT,,,,,,,,
AF24,GEM_OUT_O<33>,OUTPUT,,,,,,,,
AG17,GEM_OUT_O<57>,OUTPUT,,,,,,,,
AG18,GEM_OUT_O<59>,OUTPUT,,,,,,,,
AG19,GEM_OUT_O<56>,OUTPUT,,,,,,,,
AG20,GEM_OUT_O<54>,OUTPUT,,,,,,,,
AG21,GEM_OUT_O<52>,OUTPUT,,,,,,,,
AG22,GEM_OUT_O<50>,OUTPUT,,,,,,,,
AG23,GEM_OUT_O<44>,OUTPUT,,,,,,,,
AG24,GEM_OUT_O<41>,OUTPUT,,,,,,,,
A1,GEM_OUT_A<2>,OUTPUT,,,,,,,,
A2,GEM_OUT_A<4>,OUTPUT,,,,,,,,
A3,GEM_OUT_A<6>,OUTPUT,,,,,,,,
A4,GEM_OUT_A<8>,OUTPUT,,,,,,,,
A5,GEM_OUT_A<10>,OUTPUT,,,,,,,,
A6,GEM_OUT_A<11>,OUTPUT,,,,,,,,
A7,GEM_OUT_A<13>,OUTPUT,,,,,,,,
A8,GEM_OUT_A<14>,OUTPUT,,,,,,,,
B1,GEM_OUT_A<1>,OUTPUT,,,,,,,,
B2,GEM_OUT_A<3>,OUTPUT,,,,,,,,
B3,GEM_OUT_A<5>,OUTPUT,,,,,,,,
B4,GEM_SIGNAL_B4,OUTPUT,,,,,,,,
B5,GEM_OUT_A<9>,OUTPUT,,,,,,,,
B6,GEM_OUT_A<12>,OUTPUT,,,,,,,,
B7,GEM_OUT_A<16>,OUTPUT,,,,,,,,
B8,GEM_OUT_A<17>,OUTPUT,,,,,,,,
C1,GEM_OUT_A<24>,OUTPUT,,,,,,,,
C2,GEM_OUT_A<23>,OUTPUT,,,,,,,,
C3,GEM_OUT_A<22>,OUTPUT,,,,,,,,
C4,GEM_OUT_A<21>,OUTPUT,,,,,,,,
C5,GEM_OUT_A<18>,OUTPUT,,,,,,,,
C6,GEM_OUT_A<15>,OUTPUT,,,,,,,,
C7,GEM_OUT_A<19>,OUTPUT,,,,,,,,
C8,GEM_OUT_A<20>,OUTPUT,,,,,,,,
D1,GEM_OUT_A<29>,OUTPUT,,,,,,,,
D2,GEM_OUT_A<28>,OUTPUT,,,,,,,,
D3,GEM_OUT_A<27>,OUTPUT,,,,,,,,
D4,GEM_OUT_A<31>,OUTPUT,,,,,,,,
D5,GEM_OUT_A<25>,OUTPUT,,,,,,,,
D6,GEM_OUT_A<26>,OUTPUT,,,,,,,,
D7,GEM_OUT_A<30>,OUTPUT,,,,,,,,
D8,GEM_OUT_A<32>,OUTPUT,,,,,,,,
E1,GEM_OUT_A<37>,OUTPUT,,,,,,,,
E2,GEM_OUT_A<38>,OUTPUT,,,,,,,,
E3,GEM_OUT_A<39>,OUTPUT,,,,,,,,
E4,GEM_OUT_A<36>,OUTPUT,,,,,,,,
E5,GEM_OUT_A<34>,OUTPUT,,,,,,,,
E6,GEM_OUT_A<40>,OUTPUT,,,,,,,,
E7,GEM_OUT_A<35>,OUTPUT,,,,,,,,
E8,GEM_OUT_A<33>,OUTPUT,,,,,,,,
F1,GEM_OUT_A<47>,OUTPUT,,,,,,,,
