# File: D:\MYPROJECT\SDHCAL_DAQ\PCB&SCHEMATIC\SDHCALDIF\CAPTURE\XC7A100TFGG484.csv
# Generated on: Wednesday Apr 25 15:37:52 2018

Pin Number, Signal Name, Direction, IO Standard, Drive (mA), Slew Rate, Termination, IOB Delay, Diff Type, Diff Pair, Swap Group
V12,TCK,UNUSED,,,,,,,,
E12,GND,UNUSED,,,,,,,,
M9,GND,UNUSED,,,,,,,,
M10,GND,UNUSED,,,,,,,,
K9,GND,UNUSED,,,,,,,,
K10,VCCADC,UNUSED,,,,,,,,
N10,GND,UNUSED,,,,,,,,
L12,CCLK,UNUSED,,,,,,,,
L10,GND,UNUSED,,,,,,,,
L9,GND,UNUSED,,,,,,,,
N9,GND,UNUSED,,,,,,,,
U13,TDO,UNUSED,,,,,,,,
R13,TDI,UNUSED,,,,,,,,
U12,INIT_B,UNUSED,,,,,,,,
U10,GND,UNUSED,,,,,,,,
U11,VCC3.3VD,UNUSED,,,,,,,,
T13,TMS,UNUSED,,,,,,,,
N12,PROGRAM_B,UNUSED,,,,,,,,
U8,VCC3.3VD,UNUSED,,,,,,,,
U9,GND,UNUSED,,,,,,,,
C1,VCC3.3VD,UNUSED,,,,,,,,
F2,VCC3.3VD,UNUSED,,,,,,,,
H6,VCC3.3VD,UNUSED,,,,,,,,
J3,VCC3.3VD,UNUSED,,,,,,,,
M4,VCC3.3VD,UNUSED,,,,,,,,
N1,VCC3.3VD,UNUSED,,,,,,,,
F4,SFP_TX_DISABLE,UNUSED,,,,,,,,
B1,FD<10>,UNUSED,,,,,,,,
A1,FD<12>,UNUSED,,,,,,,,
C2,FD<9>,UNUSED,,,,,,,,
B2,FD<11>,UNUSED,,,,,,,,
E1,FIFOADR0,UNUSED,,,,,,,,
D1,PKTEND,UNUSED,,,,,,,,
E2,FIFOADR1,UNUSED,,,,,,,,
D2,FD<8>,UNUSED,,,,,,,,
G1,FLAGB,UNUSED,,,,,,,,
F1,SLOE,UNUSED,,,,,,,,
F3,SFP_SCL,UNUSED,,,,,,,,
E3,SFP_SDA,UNUSED,,,,,,,,
K1,FD<4>,UNUSED,,,,,,,,
J1,FD<6>,UNUSED,,,,,,,,
H2,FLAGA,UNUSED,,,,,,,,
G2,FLAGC,UNUSED,,,,,,,,
K2,FD<5>,UNUSED,,,,,,,,
J2,FD<7>,UNUSED,,,,,,,,
J5,SLWR,UNUSED,,,,,,,,
H5,FD<15>,UNUSED,,,,,,,,
H3,SLRD,UNUSED,,,,,,,,
G3,FD<14>,UNUSED,,,,,,,,
H4,CLKOUT,UNUSED,,,,,,,,
G4,FD<13>,UNUSED,,,,,,,,
K4,CLK_40M,UNUSED,,,,,,,,
J4,SLCS,UNUSED,,,,,,,,
K3,IFCLK,UNUSED,,,,,,,,
M1,DTCC_DATA2OUT,UNUSED,,,,,,,,
L1,DTCC_CONTROL2IN,UNUSED,,,,,,,,
M3,FD<3>,UNUSED,,,,,,,,
M2,DTCC_CONTROL1IN,UNUSED,,,,,,,,
L5,FD<0>,UNUSED,,,,,,,,
N4,FD<2>,UNUSED,,,,,,,,
R1,PLUG1DATAOUT1,UNUSED,,,,,,,,
P1,PLUG2_DATAIN1,UNUSED,,,,,,,,
P2,PLUG2_DATAIN2,UNUSED,,,,,,,,
N2,DTCC_DATA1OUT,UNUSED,,,,,,,,
M5,FD<1>,UNUSED,,,,,,,,
G19,VCC2.5VD,UNUSED,,,,,,,,
H16,VCC2.5VD,UNUSED,,,,,,,,
J13,VCC2.5VD,UNUSED,,,,,,,,
K20,VCC2.5VD,UNUSED,,,,,,,,
L17,VCC2.5VD,UNUSED,,,,,,,,
N21,VCC2.5VD,UNUSED,,,,,,,,
H13,REGULARIO_SFP_TX+,UNUSED,,,,,,,,
G13,REGULARIO_SFP_TX-,UNUSED,,,,,,,,
G17,RX_CDR_RXP,UNUSED,,,,,,,,
G18,RX_CDR_RXN,UNUSED,,,,,,,,
J22,RAZ_CHNP,UNUSED,,,,,,,,
H22,RAZ_CHNN,UNUSED,,,,,,,,
H20,VAL_EVTP,UNUSED,,,,,,,,
G20,VAL_EVTN,UNUSED,,,,,,,,
K21,CK_5P,UNUSED,,,,,,,,
K22,CK_5N,UNUSED,,,,,,,,
J19,RX_CDR_CLKP,UNUSED,,,,,,,,
H19,RX_CDR_CLKN,UNUSED,,,,,,,,
N22,SPARE_LVDS_P,UNUSED,,,,,,,,
M22,SPARE_LVDS_N,UNUSED,,,,,,,,
N20,CK_40P,UNUSED,,,,,,,,
M20,CK_40N,UNUSED,,,,,,,,
M14,VCC3.3VD,UNUSED,,,,,,,,
P18,VCC3.3VD,UNUSED,,,,,,,,
R15,VCC3.3VD,UNUSED,,,,,,,,
T22,VCC3.3VD,UNUSED,,,,,,,,
U19,VCC3.3VD,UNUSED,,,,,,,,
Y20,VCC3.3VD,UNUSED,,,,,,,,
P20,TRANSMITON2B_C,UNUSED,,,,,,,,
P22,D00,UNUSED,,,,,,,,
R22,D01,UNUSED,,,,,,,,
P21,D02,UNUSED,,,,,,,,
R21,D03,UNUSED,,,,,,,,
U22,PUDC_B,UNUSED,,,,,,,,
T21,SR_CK_C,UNUSED,,,,,,,,
U21,SR_OUT_C,UNUSED,,,,,,,,
P19,STARTREADOUT1_C,UNUSED,,,,,,,,
R19,SR_RSTB_C,UNUSED,,,,,,,,
T19,FCS_B,UNUSED,,,,,,,,
T20,ENDREADOUT2_C,UNUSED,,,,,,,,
W21,ENDREADOUT1_C,UNUSED,,,,,,,,
W22,SELECT,UNUSED,,,,,,,,
AA20,SR_IN_B,UNUSED,,,,,,,,
AA21,TRANSMITON1B_B,UNUSED,,,,,,,,
Y21,HOLD,UNUSED,,,,,,,,
Y22,DOUT2B_B,UNUSED,,,,,,,,
AB21,CHIPSATB_B,UNUSED,,,,,,,,
AB22,STARTREADOUT2_B,UNUSED,,,,,,,,
U20,RST_COUNTERB,UNUSED,,,,,,,,
V20,TRIGEXT_B,UNUSED,,,,,,,,
W19,STARTREADOUT1_B,UNUSED,,,,,,,,
W20,SR_CK_B,UNUSED,,,,,,,,
Y18,SR_OUT_B,UNUSED,,,,,,,,
Y19,STARTACQ_A,UNUSED,,,,,,,,
V18,STARTACQ_B,UNUSED,,,,,,,,
V19,DOUT1B_B,UNUSED,,,,,,,,
AA19,TRIGEXT_A,UNUSED,,,,,,,,
AB20,ENDREADOUT2_B,UNUSED,,,,,,,,
V17,ENDREADOUT1_B,UNUSED,,,,,,,,
W17,TRANSMITON2B_B,UNUSED,,,,,,,,
AA18,DOUT1B_A,UNUSED,,,,,,,,
AB18,TRANSMITON1B_A,UNUSED,,,,,,,,
U17,SR_RSTB_B,UNUSED,,,,,,,,
U18,RESET_B,UNUSED,,,,,,,,
R14,OUT_TRIG0B,UNUSED,,,,,,,,
R18,SR_IN_C,UNUSED,,,,,,,,
N17,DOUT2B_C,UNUSED,,,,,,,,
AA7,VCC3.3VD,UNUSED,,,,,,,,
AB4,VCC3.3VD,UNUSED,,,,,,,,
R5,VCC3.3VD,UNUSED,,,,,,,,
T2,VCC3.3VD,UNUSED,,,,,,,,
V6,VCC3.3VD,UNUSED,,,,,,,,
W3,VCC3.3VD,UNUSED,,,,,,,,
T1,DTCC_CLK2OUT,UNUSED,,,,,,,,
U1,DTCC_CLK1OUT,UNUSED,,,,,,,,
U2,PLUG2_CC1,UNUSED,,,,,,,,
V2,PLUG2_CC2,UNUSED,,,,,,,,
R2,PLUG1DATAOUT2,UNUSED,,,,,,,,
W2,PLUG1_CC2,UNUSED,,,,,,,,
Y2,ELINKDATAOUT,UNUSED,,,,,,,,
W1,PLUG1_CC1,UNUSED,,,,,,,,
Y1,ELINKDATAIN,UNUSED,,,,,,,,
V3,EXT_TRIG_IN,UNUSED,,,,,,,,
AB1,LED<7>,UNUSED,,,,,,,,
AB3,OTR,UNUSED,,,,,,,,
AB2,LED<6>,UNUSED,,,,,,,,
AA3,LED<5>,UNUSED,,,,,,,,
AA5,ADC_DATA<10>,UNUSED,,,,,,,,
AB5,ADC_DATA<9>,UNUSED,,,,,,,,
Y4,LED<4>,UNUSED,,,,,,,,
AA4,ADC_DATA<11>,UNUSED,,,,,,,,
V4,ELINKCLKIN,UNUSED,,,,,,,,
W4,EXT_CLK_IN,UNUSED,,,,,,,,
R4,DTCC_CLK2IN,UNUSED,,,,,,,,
T4,DTCC_CLK1IN,UNUSED,,,,,,,,
W6,LED<2>,UNUSED,,,,,,,,
W5,LED<3>,UNUSED,,,,,,,,
Y6,LED<1>,UNUSED,,,,,,,,
AA6,ADC_DATA<8>,UNUSED,,,,,,,,
W7,LED<0>,UNUSED,,,,,,,,
AB7,ADC_DATA<6>,UNUSED,,,,,,,,
AB6,ADC_DATA<7>,UNUSED,,,,,,,,
AA8,ADC_DATA<5>,UNUSED,,,,,,,,
AB8,ADC_DATA<4>,UNUSED,,,,,,,,
Y8,TP<3>,UNUSED,,,,,,,,
Y7,EXT_TRIG_OUT,UNUSED,,,,,,,,
W9,TP<2>,UNUSED,,,,,,,,
Y9,TP<1>,UNUSED,,,,,,,,
